2024-10-01 20:17:48,419 - INFO - Starting coin scraping process
2024-10-01 20:18:06,069 - INFO - Slowly scrolled to the bottom of the page
2024-10-01 20:18:17,613 - INFO - Slowly scrolled to the top of the page
2024-10-01 20:18:17,630 - INFO - Loading data from row 1 to row 200
2024-10-01 20:18:18,277 - INFO - Scrolled to row 1
2024-10-01 20:18:28,865 - INFO - Scrolled to row 200
2024-10-01 20:18:42,158 - INFO - Scrolled to row 1
2024-10-01 20:18:53,427 - INFO - Scrolled to row 200
2024-10-01 20:18:55,543 - INFO - Read: Rank: 1, Name: Bitcoin
2024-10-01 20:18:55,609 - INFO - Read: Rank: 2, Name: Ethereum
2024-10-01 20:18:55,678 - INFO - Read: Rank: 3, Name: Tether
2024-10-01 20:18:55,754 - INFO - Read: Rank: 4, Name: Binance Coin
2024-10-01 20:18:55,832 - INFO - Read: Rank: 5, Name: Cardano
2024-10-01 20:18:55,923 - INFO - Read: Rank: 6, Name: Dogecoin
2024-10-01 20:18:56,014 - INFO - Read: Rank: 7, Name: XRP
2024-10-01 20:18:56,103 - INFO - Read: Rank: 8, Name: USD Coin
2024-10-01 20:18:56,190 - INFO - Read: Rank: 9, Name: Polkadot
2024-10-01 20:18:56,269 - INFO - Read: Rank: 10, Name: Binance USD
2024-10-01 20:18:56,344 - INFO - Read: Rank: 11, Name: Uniswap
2024-10-01 20:18:56,420 - INFO - Read: Rank: 12, Name: Bitcoin Cash
2024-10-01 20:18:56,512 - INFO - Read: Rank: 13, Name: Litecoin
2024-10-01 20:18:56,593 - INFO - Read: Rank: 14, Name: Solana
2024-10-01 20:18:56,670 - INFO - Read: Rank: 15, Name: Chainlink
2024-10-01 20:18:56,746 - INFO - Read: Rank: 16, Name: Polygon
2024-10-01 20:18:56,820 - INFO - Read: Rank: 17, Name: THETA
2024-10-01 20:18:56,896 - INFO - Read: Rank: 18, Name: Wrapped Bitcoin
2024-10-01 20:18:56,971 - INFO - Read: Rank: 19, Name: Stellar
2024-10-01 20:18:57,044 - INFO - Read: Rank: 20, Name: Internet Computer
2024-10-01 20:18:57,113 - INFO - Read: Rank: 21, Name: Dai
2024-10-01 20:18:57,184 - INFO - Read: Rank: 22, Name: VeChain
2024-10-01 20:18:57,260 - INFO - Read: Rank: 23, Name: Ethereum Classic
2024-10-01 20:18:57,328 - INFO - Read: Rank: 24, Name: TRON
2024-10-01 20:18:57,401 - INFO - Read: Rank: 25, Name: Filecoin
2024-10-01 20:18:57,485 - INFO - Read: Rank: 26, Name: Monero
2024-10-01 20:18:57,556 - INFO - Read: Rank: 27, Name: EOS
2024-10-01 20:18:57,624 - INFO - Read: Rank: 28, Name: SHIBA INU
2024-10-01 20:18:57,698 - INFO - Read: Rank: 29, Name: Crypto.com Coin
2024-10-01 20:18:57,773 - INFO - Read: Rank: 30, Name: Amp
2024-10-01 20:18:57,849 - INFO - Read: Rank: 31, Name: Aave
2024-10-01 20:18:57,925 - INFO - Read: Rank: 32, Name: Algorand
2024-10-01 20:18:57,995 - INFO - Read: Rank: 33, Name: Bitcoin BEP2
2024-10-01 20:18:58,071 - INFO - Read: Rank: 34, Name: Klaytn
2024-10-01 20:18:58,141 - INFO - Read: Rank: 35, Name: Bitcoin SV
2024-10-01 20:18:58,212 - INFO - Read: Rank: 36, Name: PancakeSwap
2024-10-01 20:18:58,288 - INFO - Read: Rank: 37, Name: FTX Token
2024-10-01 20:18:58,369 - INFO - Read: Rank: 38, Name: Terra
2024-10-01 20:18:58,445 - INFO - Read: Rank: 39, Name: Theta Fuel
2024-10-01 20:18:58,537 - INFO - Read: Rank: 40, Name: Neo
2024-10-01 20:18:58,631 - INFO - Read: Rank: 41, Name: Tezos
2024-10-01 20:18:58,703 - INFO - Read: Rank: 42, Name: IOTA
2024-10-01 20:18:58,777 - INFO - Read: Rank: 43, Name: Cosmos
2024-10-01 20:18:58,846 - INFO - Read: Rank: 44, Name: Maker
2024-10-01 20:18:58,915 - INFO - Read: Rank: 45, Name: UNUS SED LEO
2024-10-01 20:18:58,985 - INFO - Read: Rank: 46, Name: TerraUSD
2024-10-01 20:18:59,055 - INFO - Read: Rank: 47, Name: Avalanche
2024-10-01 20:18:59,125 - INFO - Read: Rank: 48, Name: Huobi Token
2024-10-01 20:18:59,195 - INFO - Read: Rank: 49, Name: BitTorrent
2024-10-01 20:18:59,262 - INFO - Read: Rank: 50, Name: Decred
2024-10-01 20:18:59,333 - INFO - Read: Rank: 51, Name: The Graph
2024-10-01 20:18:59,415 - INFO - Read: Rank: 52, Name: Hedera Hashgraph
2024-10-01 20:18:59,487 - INFO - Read: Rank: 53, Name: Kusama
2024-10-01 20:18:59,555 - INFO - Read: Rank: 54, Name: Waves
2024-10-01 20:18:59,642 - INFO - Read: Rank: 55, Name: THORChain
2024-10-01 20:18:59,715 - INFO - Read: Rank: 56, Name: TrueUSD
2024-10-01 20:18:59,782 - INFO - Read: Rank: 57, Name: Chiliz
2024-10-01 20:18:59,850 - INFO - Read: Rank: 58, Name: Compound
2024-10-01 20:18:59,915 - INFO - Read: Rank: 59, Name: Dash
2024-10-01 20:18:59,986 - INFO - Read: Rank: 60, Name: Zcash
2024-10-01 20:19:00,063 - INFO - Read: Rank: 61, Name: Celsius
2024-10-01 20:19:00,132 - INFO - Read: Rank: 62, Name: Telcoin
2024-10-01 20:19:00,200 - INFO - Read: Rank: 63, Name: Elrond
2024-10-01 20:19:00,274 - INFO - Read: Rank: 64, Name: yearn.finance
2024-10-01 20:19:00,343 - INFO - Read: Rank: 65, Name: Holo
2024-10-01 20:19:00,417 - INFO - Read: Rank: 66, Name: NEM
2024-10-01 20:19:00,484 - INFO - Read: Rank: 67, Name: Helium
2024-10-01 20:19:00,553 - INFO - Read: Rank: 68, Name: Quant
2024-10-01 20:19:00,624 - INFO - Read: Rank: 69, Name: SushiSwap
2024-10-01 20:19:00,707 - INFO - Read: Rank: 70, Name: Paxos Standard
2024-10-01 20:19:00,784 - INFO - Read: Rank: 71, Name: Celo
2024-10-01 20:19:00,853 - INFO - Read: Rank: 72, Name: XinFin Network
2024-10-01 20:19:00,926 - INFO - Read: Rank: 73, Name: Enjin Coin
2024-10-01 20:19:01,000 - INFO - Read: Rank: 74, Name: Zilliqa
2024-10-01 20:19:01,076 - INFO - Read: Rank: 75, Name: Basic Attention Token
2024-10-01 20:19:01,144 - INFO - Read: Rank: 76, Name: NEAR Protocol
2024-10-01 20:19:01,220 - INFO - Read: Rank: 77, Name: Mdex
2024-10-01 20:19:01,305 - INFO - Read: Rank: 78, Name: Stacks
2024-10-01 20:19:01,386 - INFO - Read: Rank: 79, Name: Decentraland
2024-10-01 20:19:01,456 - INFO - Read: Rank: 80, Name: Synthetix
2024-10-01 20:19:01,530 - INFO - Read: Rank: 81, Name: Bitcoin Gold
2024-10-01 20:19:01,604 - INFO - Read: Rank: 82, Name: Nexo
2024-10-01 20:19:01,677 - INFO - Read: Rank: 83, Name: Harmony
2024-10-01 20:19:01,753 - INFO - Read: Rank: 84, Name: HUSD
2024-10-01 20:19:01,829 - INFO - Read: Rank: 85, Name: Revain
2024-10-01 20:19:01,921 - INFO - Read: Rank: 86, Name: Bancor
2024-10-01 20:19:01,995 - INFO - Read: Rank: 87, Name: Horizen
2024-10-01 20:19:02,073 - INFO - Read: Rank: 88, Name: Nano
2024-10-01 20:19:02,145 - INFO - Read: Rank: 89, Name: DigiByte
