rank,name,symbol,market_cap,price,circulating_supply,volume,change_7d
1,Bitcoin,BTC,"$649,461,677,014.11","$34,649.64","18,743,675 BTC","$35,511,640,893.97",-2.94%
2,Ethereum,ETH,"$230,473,556,118.34","$1,978.89","116,465,803 ETH","$19,885,474,742.15",-11.91%
3,Tether,USDT,"$62,565,275,501.32",$1.0006,"62,525,151,502 USDT *","$53,158,745,469.26",-0.02%
4,Binance Coin,BNB,"$44,582,539,627.56",$290.57,"153,432,897 BNB *","$1,521,388,055.74",-14.56%
5,Cardano,ADA,"$42,654,792,252.72",$1.3352,"31,946,328,269 ADA","$2,371,576,550.82",-6.58%
6,Dogecoin,DOGE,"$34,431,598,885.98",$0.2644,"130,200,947,235 DOGE","$2,167,521,670.48",-5.86%
7,XRP,XRP,"$29,916,626,946.07",$0.6469,"46,244,517,593 XRP *","$2,329,301,222.10",-16.67%
8,USD Coin,USDC,"$25,791,977,537.20",$1.0006,"25,776,737,766 USDC *","$2,006,379,614.62",-0.04%
9,Polkadot,DOT,"$14,348,288,115.63",$15.02,"955,559,127 DOT *","$982,313,260.63",-27.36%
10,Binance USD,BUSD,"$9,951,227,530.45",$1.0005,"9,946,112,282 BUSD *","$3,436,768,802.55",-0.05%
11,Uniswap,UNI,"$9,833,906,939.68",$17.10,"575,228,023 UNI *","$255,240,542.43",-17.84%
12,Bitcoin Cash,BCH,"$8,953,538,053.98",$476.89,"18,774,956 BCH","$1,445,433,764.92",-14.46%
13,Litecoin,LTC,"$8,834,541,326.01",$132.35,"66,752,415 LTC","$1,804,264,433.38",-14.67%
14,Solana,SOL,"$8,705,146,914.45",$31.93,"272,637,428 SOL *","$497,353,287.91",-9.60%
15,Chainlink,LINK,"$7,989,048,357.73",$18.34,"435,509,554 LINK *","$805,522,371.36",-15.60%
16,Polygon,MATIC,"$7,009,612,653.35",$1.1120,"6,303,422,325 MATIC *","$704,097,941.80",-20.51%
17,THETA,THETA,"$6,892,736,519.99",$6.8927,"1,000,000,000 THETA *","$227,785,045.64",-20.91%
18,Wrapped Bitcoin,WBTC,"$6,607,675,012.07","$34,590.69","191,025 WBTC *","$311,107,164.31",-3.03%
19,Stellar,XLM,"$5,999,612,086.91",$0.2586,"23,196,088,878 XLM *","$430,864,933.92",-13.10%
20,Internet Computer,ICP,"$5,785,532,106.54",$42.90,"134,866,041 ICP *","$522,404,039.52",-9.14%
21,Dai,DAI,"$5,158,236,753.01",$1.0025,"5,145,366,207 DAI *","$295,963,345.90",0.05%
22,VeChain,VET,"$5,005,889,050.94",$0.07783,"64,315,576,989 VET *","$529,222,332.05",-21.16%
23,Ethereum Classic,ETC,"$4,923,668,234.62",$42.33,"116,313,299 ETC","$1,782,621,295.26",-17.18%
24,TRON,TRX,"$4,642,076,651.35",$0.06478,"71,659,657,369 TRX *","$839,958,642.28",-4.50%
25,Filecoin,FIL,"$4,626,345,499.42",$56.13,"82,425,428 FIL","$515,856,077.60",-11.35%
26,Monero,XMR,"$3,789,115,209.41",$211.20,"17,940,965 XMR","$152,877,053.99",-20.18%
27,EOS,EOS,"$3,595,820,064.09",$3.7664,"954,704,355 EOS *","$727,602,241.16",-16.62%
28,SHIBA INU,SHIB,"$3,101,198,479.53",$0.00000786,"394,796,000,000,000 SHIB *","$368,723,896.78",0.74%
29,Crypto.com Coin,CRO,"$2,684,628,510.02",$0.1063,"25,263,013,692 CRO *","$65,942,796.95",-1.78%
30,Amp,AMP,"$2,610,273,309.73",$0.06181,"42,227,702,186 AMP","$43,787,489.33",-31.97%
31,Aave,AAVE,"$2,599,445,021.93",$202.68,"12,825,593 AAVE *","$250,757,136.21",-25.90%
32,Algorand,ALGO,"$2,583,661,870.04",$0.835,"3,094,374,868 ALGO *","$107,192,863.61",-10.80%
33,Bitcoin BEP2,BTCB,"$2,530,073,723.80","$34,613.21","73,096 BTCB *","$1,427,630.66",-2.95%
34,Klaytn,KLAY,"$2,481,688,394.39",$1.0004,"2,480,762,912 KLAY *","$112,809,147.68",0.33%
35,Bitcoin SV,BSV,"$2,457,894,662.29",$130.93,"18,772,027 BSV","$574,535,254.62",-14.56%
36,PancakeSwap,CAKE,"$2,442,781,268.58",$13.01,"187,705,470 CAKE *","$190,050,436.36",-18.84%
37,FTX Token,FTT,"$2,315,950,669.85",$24.55,"94,346,958 FTT *","$24,677,197.50",-18.05%
38,Terra,LUNA,"$2,256,134,474.97",$5.4009,"417,736,858 LUNA *","$61,395,305.23",-8.33%
39,Theta Fuel,TFUEL,"$2,281,092,671.07",$0.4303,"5,301,214,400 TFUEL *","$96,384,606.68",-27.05%
40,Neo,NEO,"$2,253,607,095.38",$31.95,"70,538,831 NEO *","$455,043,701.45",-28.69%
41,Tezos,XTZ,"$2,229,717,071.97",$2.6211,"850,673,249 XTZ *","$65,038,989.77",-14.97%
42,IOTA,MIOTA,"$2,214,027,523.61",$0.7965,"2,779,530,283 MIOTA *","$29,808,743.98",-17.28%
43,Cosmos,ATOM,"$2,118,144,322.25",$10.05,"210,767,263 ATOM *","$176,367,569.87",-16.35%
44,Maker,MKR,"$2,111,624,291.78","$2,130.05","991,351 MKR *","$83,702,988.57",-21.34%
45,UNUS SED LEO,LEO,"$1,986,534,288.83",$2.0824,"953,954,130 LEO *","$5,080,957.31",-19.17%
46,TerraUSD,UST,"$1,908,625,499.16",$1.0010,"1,906,664,690 UST *","$21,851,847.34",-0.11%
47,Avalanche,AVAX,"$1,882,647,808.83",$10.92,"172,418,164 AVAX *","$34,727,227.77",-21.84%
48,Huobi Token,HT,"$1,738,023,861.10",$10.18,"170,704,593 HT *","$139,794,885.11",-14.75%
49,BitTorrent,BTT,"$1,646,108,267.11",$0.002494,"659,952,625,000 BTT *","$132,498,965.88",-14.56%
50,Decred,DCR,"$1,610,355,857.06",$123.27,"13,064,031 DCR","$41,602,998.52",-1.73%
51,The Graph,GRT,"$1,615,745,940.28",$0.5576,"2,897,903,422 GRT *","$53,287,317.38",-13.11%
52,Hedera Hashgraph,HBAR,"$1,605,000,735.48",$0.1823,"8,805,028,673 HBAR *","$150,525,717.47",-5.75%
53,Kusama,KSM,"$1,506,970,495.76",$177.92,"8,470,098 KSM *","$154,000,140.75",-40.92%
54,Waves,WAVES,"$1,464,227,405.70",$13.88,"105,484,780 WAVES *","$96,559,144.40",-21.28%
55,THORChain,RUNE,"$1,420,840,187.32",$6.0762,"233,836,800 RUNE *","$82,259,499.39",-27.47%
56,TrueUSD,TUSD,"$1,432,853,717.03",$1.0006,"1,431,977,916 TUSD *","$70,420,762.70",-0.06%
57,Chiliz,CHZ,"$1,405,618,049.14",$0.2385,"5,893,953,727 CHZ *","$172,247,365.22",-17.25%
58,Compound,COMP,"$1,366,617,884.83",$257.16,"5,314,336 COMP *","$120,904,849.07",-12.42%
59,Dash,DASH,"$1,295,479,821.96",$127.00,"10,200,531 DASH","$336,668,224.54",-17.37%
60,Zcash,ZEC,"$1,294,852,917.77",$107.14,"12,085,150 ZEC","$266,185,414.87",-18.86%
61,Celsius,CEL,"$1,252,761,963.76",$5.2447,"238,863,520 CEL *","$26,295,894.33",-15.65%
62,Telcoin,TEL,"$1,197,365,970.53",$0.023,"52,057,110,195 TEL *","$13,169,388.90",-21.17%
63,Elrond,EGLD,"$1,163,644,159.15",$65.77,"17,692,270 EGLD *","$45,057,697.62",-18.36%
64,yearn.finance,YFI,"$1,105,527,633.04","$30,176.45","36,635 YFI *","$174,764,200.25",-16.38%
65,Holo,HOT,"$1,020,091,266.93",$0.005908,"172,673,864,848 HOT *","$77,904,393.59",-20.46%
66,NEM,XEM,"$1,013,451,362.48",$0.1126,"8,999,999,999 XEM *","$48,421,229.30",-21.10%
67,Helium,HNT,"$1,015,463,792.76",$11.54,"87,958,664 HNT","$9,632,714.70",-8.52%
68,Quant,QNT,"$998,429,480.50",$82.70,"12,072,738 QNT *","$16,009,794.71",12.07%
69,SushiSwap,SUSHI,"$904,817,102.04",$7.1109,"127,244,443 SUSHI *","$168,882,081.86",-15.73%
70,Paxos Standard,PAX,"$899,286,915.25",$1.0005,"898,832,073 PAX *","$73,683,381.74",-0.07%
71,Celo,CELO,"$849,793,378.53",$3.4582,"245,729,966 CELO *","$178,453,325.78",48.71%
72,XinFin Network,XDC,"$839,817,413.35",$0.06841,"12,276,335,888 XDC","$7,315,692.92",-5.26%
73,Enjin Coin,ENJ,"$834,919,716.02",$1.0007,"834,331,121 ENJ *","$70,651,628.13",-20.20%
74,Zilliqa,ZIL,"$822,575,332.53",$0.072,"11,424,888,564 ZIL","$45,526,901.20",-24.93%
75,Basic Attention Token,BAT,"$809,204,654.11",$0.5403,"1,497,660,550 BAT *","$138,423,669.96",-9.81%
76,NEAR Protocol,NEAR,"$801,643,816.11",$1.9499,"411,111,293 NEAR *","$33,802,534.28",-32.62%
77,Mdex,MDX,"$802,042,944.07",$1.5937,"503,271,136 MDX *","$33,604,078.83",-22.25%
78,Stacks,STX,"$792,335,851.65",$0.6874,"1,152,627,465 STX *","$12,284,722.66",-13.85%
79,Decentraland,MANA,"$780,115,123.10",$0.4936,"1,580,389,921 MANA *","$31,258,803.64",-20.97%
80,Synthetix,SNX,"$733,494,773.26",$6.3870,"114,841,533 SNX *","$42,667,024.09",-24.61%
81,Bitcoin Gold,BTG,"$715,259,928.20",$40.84,"17,513,924 BTG","$20,018,045.55",-21.58%
82,Nexo,NEXO,"$700,500,441.35",$1.2509,"560,000,011 NEXO *","$8,511,370.44",-22.28%
83,Harmony,ONE,"$690,048,883.13",$0.06756,"10,214,146,276 ONE *","$62,210,737.45",-7.43%
84,HUSD,HUSD,"$695,965,928.73",$1.0004,"695,708,759 HUSD *","$94,034,764.30",-0.07%
85,Revain,REV,"$686,413,236.46",$0.00807,"85,061,485,690 REV *","$4,422,399.44",-26.91%
86,Bancor,BNT,"$671,384,074.40",$3.0555,"219,726,585 BNT *","$39,812,204.85",-13.69%
87,Horizen,ZEN,"$668,804,531.26",$59.51,"11,238,113 ZEN","$37,852,034.99",-24.14%
88,Nano,NANO,"$652,962,180.58",$4.9003,"133,248,297 NANO *","$24,950,831.45",-16.32%
89,DigiByte,DGB,"$614,861,519.40",$0.04258,"14,439,181,966 DGB","$19,440,782.59",-14.73%
90,Qtum,QTUM,"$605,690,078.44",$6.1501,"98,484,582 QTUM *","$226,876,547.61",-18.83%
91,OKB,OKB,"$597,794,352.40",$9.9632,"60,000,000 OKB *","$255,179,276.67",-21.05%
92,Curve DAO Token,CRV,"$589,398,831.24",$1.5794,"373,181,738 CRV *","$117,175,105.95",-18.06%
93,KuCoin Token,KCS,"$580,993,333.07",$7.2517,"80,118,638 KCS *","$11,496,943.73",-8.74%
94,Fantom,FTM,"$553,330,261.74",$0.2174,"2,545,006,273 FTM *","$38,008,846.77",-29.86%
95,Ontology,ONT,"$544,344,317.61",$0.6288,"865,632,987 ONT *","$72,217,228.04",-24.52%
96,Siacoin,SC,"$540,077,667.39",$0.01123,"48,113,212,992 SC","$24,278,693.36",-15.75%
97,0x,ZRX,"$537,596,078.38",$0.636,"845,323,731 ZRX *","$41,284,206.03",-19.81%
98,OMG Network,OMG,"$519,568,633.46",$3.7047,"140,245,398 OMG *","$160,459,314.81",-19.42%
99,UMA,UMA,"$517,500,017.02",$8.3922,"61,664,168 UMA *","$26,145,570.48",-21.91%
100,BakeryToken,BAKE,"$504,265,633.42",$1.9372,"260,303,767 BAKE *","$99,196,160.56",-31.96%
101,Voyager Token,VGX,"$502,070,354.49",$2.2586,"222,295,208 VGX *","$1,270,567.57",-0.15%
102,SwissBorg,CHSB,"$493,915,515.04",$0.4939,"1,000,000,000 CHSB *","$2,002,892.86",-20.95%
103,Ankr,ANKR,"$498,427,680.51",$0.07124,"6,996,232,711 ANKR *","$18,935,506.11",-2.38%
104,Ravencoin,RVN,"$491,201,633.11",$0.05406,"9,085,500,000 RVN","$48,064,966.43",-18.46%
105,ICON,ICX,"$473,527,256.66",$0.7391,"640,706,460 ICX *","$31,570,502.07",-22.92%
106,1inch,1INCH,"$432,912,245.96",$2.5054,"172,793,241 1INCH *","$59,643,082.83",-26.53%
